Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,6.419444,6.639305,6.651617,6.650489,6.559103,6.666126,6.328418,6.658221,6.21079,6.585593,6.32753,6.32666,7.778375,7.691211,7.590344,9.008189,9.185719,9.765053,9.196903,8.122765,9.044643,7.505961,7.856015,7.53541,7.363671,7.472465,7.486248,8.058267,7.483986,7.491219
1000-2,3.796719,3.704344,3.543573,3.676634,3.647828,3.569534,3.63743,3.584465,3.496141,3.438652,3.665536,3.643568,3.586993,3.406849,3.431298,3.413836,3.649551,3.627787,3.420111,3.571111,3.516835,3.698733,3.394149,3.618646,3.663087,3.613273,3.538497,3.622227,3.707121,3.649434
1000-4,1.620083,1.606233,1.616059,1.653295,1.60387,1.64222,1.601944,1.632923,1.878233,1.613482,1.629256,1.655611,1.658498,1.633507,1.648319,1.608188,1.613264,1.624028,1.602837,1.601658,1.658615,1.636071,1.643608,1.608925,1.653895,1.603314,1.645403,1.606604,1.648497,1.609917
1000-8,1.90669,1.859309,1.846434,1.931653,1.913057,1.862073,1.940345,1.842192,1.88099,1.825207,1.915153,1.795367,1.854315,1.813874,1.876165,1.853612,1.835226,1.87854,1.785518,1.847637,1.774136,1.876717,1.778761,1.922292,1.854748,1.853704,1.841025,1.894654,1.87812,1.929653
1000-16,1.638532,1.743393,1.780472,1.670084,1.711141,1.723223,1.691317,1.699823,1.755301,1.710434,1.741898,1.789547,1.695427,1.696751,1.696202,1.676476,1.740265,1.720428,1.66891,1.714813,1.715626,1.695792,1.760768,1.694499,1.708296,1.692155,1.674792,1.698573,1.725069,1.673031
2000-1,86.082423,84.551274,85.821563,85.575673,86.168874,84.040677,84.17595,85.241161,85.354904,85.595363,84.865392,85.742066,86.172922,84.912134,84.746231,84.459127,84.797682,86.067262,84.762857,83.598348,83.556996,84.822689,85.26675,84.341215,84.974591,84.547996,85.448742,84.829421,84.211675,85.678648
2000-2,38.783182,37.525726,38.57559,36.542501,37.512884,41.30552,39.14561,36.826104,37.057029,38.864716,36.713333,40.40255,37.751124,39.597587,37.283073,38.252601,37.896814,39.595192,39.373341,37.690785,38.441588,38.171994,38.285721,38.001331,37.882204,38.785434,37.204311,36.675955,39.884422,37.211554
2000-4,16.120454,16.113971,16.042404,16.914149,16.21855,16.200457,16.056567,16.337681,16.319167,16.136009,16.147291,16.092691,16.089401,16.234057,16.212794,16.422055,16.015206,16.119655,16.122857,16.513071,16.192259,16.408234,16.279706,16.565125,16.161225,16.868883,16.257169,17.504233,17.732717,17.266866
2000-8,22.229175,21.929484,22.474923,22.737927,22.195673,22.363426,21.908849,22.044803,22.753231,22.404851,22.259054,22.415739,22.291501,22.719629,22.769866,22.114499,22.162198,22.50299,22.430388,22.825332,22.257258,22.079414,22.304034,22.495763,22.433216,22.194547,22.298872,21.921134,22.093862,22.252095
2000-16,21.475115,21.346068,21.386151,21.622007,21.770446,21.679907,21.81694,21.486519,21.583677,21.559965,21.385057,21.825955,21.530287,21.549797,21.749336,21.522631,21.547002,21.357576,21.596871,21.395178,21.4373,21.616676,21.523966,21.386269,21.576918,21.507072,21.503049,21.624006,21.739939,22.198094
4000-1,1019.272306,983.589576,980.999176,971.959251,960.983964,975.304952,960.569305,966.3872,963.471918,965.754129,957.302094,956.475885,952.67283,964.120693,965.180464,967.499266,971.306165,965.253395,978.494195,956.940781,955.805778,958.740364,952.748927,960.618945,968.644634,962.358664,965.166591,960.706262,961.970626,964.113585
4000-2,389.323178,406.153786,397.678459,392.762021,417.666064,390.385709,398.130379,392.147196,405.367603,398.559106,401.25414,394.894127,409.059613,397.656932,391.037957,387.490083,399.662085,408.532827,405.955933,392.440914,391.213278,407.213713,408.38122,395.077584,391.408925,395.04436,395.270665,397.32043,411.509931,387.75814
4000-4,190.601157,186.627327,186.696917,187.835541,190.776739,188.369696,189.463593,190.002964,191.337068,191.767118,192.07699,193.205507,191.33022,190.785007,190.435766,193.674668,192.813254,191.40567,189.803903,190.682248,192.63029,191.008562,190.089909,189.790185,192.328574,189.682967,190.934426,189.928701,190.657791,191.161649
4000-8,233.819057,233.454655,232.502651,231.543935,232.017594,232.114563,230.405306,232.043247,231.674093,233.817686,233.688049,233.531717,233.212148,233.049527,231.31941,233.084541,233.891287,233.489107,231.564295,233.90294,232.939475,230.946825,233.746455,231.949591,231.537723,230.75154,232.072976,232.423496,234.625088,232.348324
4000-16,268.59471,267.363808,268.155502,273.4051,268.539343,267.570269,268.460151,267.959274,267.390928,267.747,269.0106,267.612107,267.233783,267.596396,268.445615,267.76536,268.596072,268.335005,267.431362,268.864486,269.155242,268.375093,268.303745,268.592175,268.325512,268.229341,268.562122,268.546475,268.074583,267.61166
