Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,7.413243,7.655591,8.399941,8.112817,8.247384,7.575308,7.631989,7.545448,7.427982,7.413024,7.398316,8.489804,7.905305,7.529739,7.718053,7.350501,8.147351,7.624786,7.592013,7.679243,7.510129,7.30498,7.607748,7.663551,7.729345,7.36448,7.317228,7.461681,7.418032,7.372096
1000-2,3.513457,3.554894,3.632392,3.515869,3.420231,3.624743,3.740442,3.688966,3.777102,3.657574,3.548842,3.381654,3.558245,3.521021,3.766001,3.628217,3.59876,3.699234,3.688665,3.522245,3.587364,3.605903,3.719727,3.402821,3.630679,3.679513,3.609222,3.40596,3.883845,3.623694
1000-4,1.666968,1.934456,1.623078,1.628928,1.645903,1.634328,1.661249,1.597271,1.60427,1.617232,1.645182,1.879415,1.61972,1.594395,1.615864,1.611134,1.610774,1.605132,1.603723,1.60842,1.608151,1.61609,1.591459,1.589257,1.597234,1.598378,1.620424,1.624821,1.587167,1.597804
1000-8,1.930338,1.847968,2.05271,1.938793,1.893117,1.911026,1.953054,1.896971,1.911331,1.876138,1.906811,1.88364,1.87079,1.884262,1.921721,1.889807,1.911472,2.347447,1.902518,1.824397,1.821685,1.852041,1.893465,1.924385,1.884248,1.897595,1.887904,1.87944,1.835962,1.815675
1000-16,1.674198,1.668296,1.725595,1.759382,1.756045,1.752329,1.714233,1.647665,1.670619,1.648152,1.683025,1.737352,1.646134,1.663263,1.650059,1.683083,1.646721,1.6725,1.714742,1.657624,1.67909,1.685913,1.720899,1.675591,1.650588,1.655908,1.683372,1.664617,1.638346,1.640822
2000-1,85.232048,84.883685,84.639166,84.359542,86.256336,85.113285,86.090633,84.423496,86.140049,86.050326,85.450715,86.077636,83.235293,83.16932,85.070289,84.421529,82.736414,83.627311,85.582504,83.229489,83.613916,84.456077,85.258506,83.335375,84.456788,83.743423,83.8648,83.786187,83.644824,84.313944
2000-2,39.443482,36.847453,38.674517,40.305222,39.874444,37.413655,37.163846,37.430362,39.124988,37.996048,37.2786,36.871645,38.815879,36.827705,36.583889,37.376635,37.707708,37.612303,38.153641,38.00948,39.868905,40.821244,38.33397,37.414209,38.356406,37.397924,36.273283,35.963137,38.131726,36.59493
2000-4,16.154829,16.144868,16.345325,16.279,16.300429,16.59447,16.124593,16.697119,17.02186,16.654201,16.368506,16.106682,16.124837,16.348156,16.842087,16.414949,16.308977,17.034802,16.440057,16.783884,16.114962,16.559934,16.468262,17.692004,16.29544,16.327538,16.221983,16.42203,16.101492,16.348628
2000-8,21.340121,21.657451,21.60979,21.728506,21.412616,21.728932,21.749453,21.364119,21.847729,21.741321,21.78543,21.506457,21.552417,21.965023,21.807512,21.661618,21.804389,21.815305,22.20153,21.649589,21.553541,21.762276,21.742029,21.552179,21.568327,21.725064,21.524848,21.241034,21.554791,21.353382
2000-16,20.584149,20.740092,20.955599,20.801019,20.630069,20.605528,21.724488,20.631806,20.68029,20.741351,20.631129,20.734808,20.632155,20.602375,21.377384,20.587769,20.990427,20.773048,20.647619,20.605836,20.633475,20.868264,21.075332,21.170353,20.527495,20.973185,20.893134,20.683158,20.644761,20.55401
4000-1,1025.918163,986.114943,970.83468,969.659643,975.237268,976.475234,964.015048,965.393492,966.771776,966.544532,969.301501,966.122624,967.987748,963.938093,960.469141,960.034549,958.734714,956.520823,971.992997,961.872427,959.5351,963.637743,969.815386,1004.112699,963.803111,961.297404,961.416704,955.762959,960.457469,955.409907
4000-2,433.646352,433.518748,440.514998,436.198509,433.645029,420.505998,434.403301,429.292477,437.653313,423.792619,441.549349,413.792655,435.737768,430.021192,436.13137,453.453221,441.864323,425.472442,435.348169,421.618112,422.40436,434.697728,431.558481,430.244301,427.347518,425.250088,426.737843,425.837555,444.922568,454.096585
4000-4,203.743153,200.503975,197.888017,198.846836,198.609586,200.324995,202.233281,200.287349,200.833208,202.706358,200.365393,203.449281,202.471146,203.499015,200.854881,199.774581,200.752017,201.196195,198.882058,198.496357,200.290605,200.285227,199.541582,197.825556,199.726218,201.01014,202.387316,201.661499,200.43702,199.709355
4000-8,217.513674,214.760037,215.220676,220.432144,217.615333,216.503162,218.179435,216.823565,216.708972,221.33708,218.736037,216.827367,220.582458,216.407817,220.268845,218.154662,217.5823,217.666419,218.913826,217.286002,218.297992,214.558361,218.835342,217.486558,218.121271,219.137482,220.98278,217.815363,218.370568,217.941026
4000-16,250.498194,247.755154,246.373578,245.233289,245.950915,247.123129,247.312952,245.777315,246.922775,246.558371,246.74106,248.650693,244.788668,248.380121,248.572859,252.348023,244.529328,252.723013,247.22283,254.990457,250.10682,253.084766,255.071537,249.566809,247.304059,245.463997,246.479712,250.365002,247.539895,246.574882
