Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,1.735568,1.70378,1.53982,1.404936,1.728898,1.799562,1.700397,1.722574,1.677116,1.730508,1.758315,1.71283,1.738168,1.807168,1.792604,1.737415,1.714996,1.721123,1.71461,1.71672,1.712641,1.568202,1.755013,1.682459,1.71615,1.790087,1.69337,1.747277,1.68357,1.691176
1000-2,0.861166,0.857254,0.842003,0.861151,0.849019,0.83703,0.852176,0.937962,0.847071,0.848525,0.854862,0.872435,0.845027,0.897565,0.872394,0.855748,0.836827,0.882239,0.949203,0.844003,0.858285,0.882812,0.966058,0.896236,0.940289,0.93729,0.848295,0.918112,0.943003,0.889833
1000-4,0.458044,0.436629,0.432393,0.425286,0.418418,0.434927,0.429248,0.429527,0.435183,0.426158,0.427623,0.432615,0.426542,0.427233,0.425828,0.422436,0.431637,0.439673,0.423599,0.422568,0.44982,0.454169,0.461056,0.427893,0.426346,0.426204,0.422879,0.426897,0.418798,0.432723
1000-8,0.432278,0.440913,0.41949,0.429188,0.396804,0.408855,0.435794,0.413996,0.39817,0.420687,0.430929,0.431873,0.430567,0.399937,0.402282,0.422122,0.437469,0.416128,0.426864,0.404392,0.433638,0.400918,0.417272,0.419857,0.39853,0.40212,0.42341,0.376397,0.360449,0.403591
1000-16,0.370895,0.373215,0.393681,0.428428,0.395707,0.371896,0.422332,0.42151,0.396919,0.395629,0.424673,0.398897,0.421721,0.403628,0.420601,0.42301,0.396975,0.421698,0.37133,0.371536,0.396987,0.398614,0.394017,0.422903,0.376148,0.400819,0.422322,0.391854,0.394295,0.422452
2000-1,40.393593,37.979843,40.417949,37.927107,35.69522,38.446953,43.19385,39.721844,39.063825,42.204212,34.23654,37.929922,39.715948,40.539385,37.465193,36.455514,36.878136,40.854084,38.312469,39.127938,40.703728,38.282475,35.984167,35.774415,38.763146,39.842476,37.970222,40.554242,41.613978,38.400161
2000-2,20.890931,21.218743,20.94655,19.179297,19.184097,20.060829,19.787533,20.803519,18.115776,20.351145,19.936241,18.194661,20.876887,19.035064,19.165288,19.253258,19.645861,20.867405,17.857517,20.89784,18.520453,19.561843,19.994767,18.601023,21.359044,18.337015,21.780771,19.65047,20.05003,20.042599
2000-4,10.096516,9.877728,9.983783,9.244131,9.168614,10.026861,9.681635,9.136896,10.343335,10.050423,9.759301,10.113523,9.806519,10.475501,9.912659,10.512309,9.680704,9.439434,9.249766,10.420483,10.03069,9.558711,9.306552,10.065267,9.954124,9.190015,9.981574,10.439939,9.801865,9.47764
2000-8,9.824346,9.368515,8.724012,9.607541,9.784584,9.09267,10.299254,10.068586,9.060129,9.521057,9.718551,8.69388,8.7512,9.794805,9.80173,9.369133,9.516039,9.198355,9.612125,9.814252,9.842478,9.593959,9.786168,9.723261,9.046349,9.293562,10.144879,8.728715,8.808441,10.083073
2000-16,9.065475,9.525287,10.220432,9.249285,9.590295,7.649316,9.635835,8.984885,9.486846,9.631117,9.810568,9.214828,10.135065,9.402803,9.121395,9.0643,9.109975,9.531602,8.926778,9.525772,8.768047,9.337032,8.659769,9.362439,8.574359,9.164089,9.087661,9.1523,9.708194,9.983617
4000-1,649.562556,641.043932,644.783248,643.562015,640.351132,662.449618,639.657132,645.864716,650.932462,628.237495,628.829477,632.596166,641.60855,647.744518,664.311629,644.305951,632.112329,621.67307,642.622967,623.693884,630.695047,627.767997,616.786713,618.092971,622.844387,645.001804,647.593546,655.614466,661.211612,638.480684
4000-2,319.051409,323.060942,318.248732,314.228191,319.042999,319.267654,322.976404,312.239433,325.210917,330.79245,320.517596,328.360144,330.828976,317.130537,312.069172,318.754828,324.933753,314.894,317.104613,317.520535,312.349699,318.549625,319.182147,315.718336,315.600043,317.62273,313.17041,322.012197,318.708956,310.016769
4000-4,155.842876,162.745396,159.108967,170.201801,164.6883,161.066018,163.227618,162.221471,157.752259,156.700013,155.749452,154.159793,160.147629,156.64916,155.808019,167.123345,156.362655,157.736619,155.503131,152.731863,157.429923,150.444826,153.050474,163.708818,160.390622,150.285793,158.133806,156.394135,155.830222,156.884914
4000-8,157.081095,154.22985,153.197462,157.579054,155.54699,151.247176,156.791681,156.661332,158.009288,157.53243,155.650422,155.694589,156.181135,159.475571,164.078876,163.712029,160.343135,159.728866,156.781039,157.327802,153.979273,150.905594,154.126604,153.352959,156.124126,153.747229,154.974883,153.423066,155.843231,158.910992
4000-16,166.228906,160.811663,159.234061,157.499638,155.428141,156.418035,154.48212,158.662257,153.117084,151.338397,157.8149,157.434757,158.5566,157.437751,159.642338,155.407771,155.876249,159.011935,150.729234,154.570348,155.075344,159.879758,156.144516,155.091484,151.067232,165.531131,164.765058,156.799741,160.567165,159.286616
