Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,3.894569,4.53973,4.402795,4.361489,4.558233,4.505895,4.319173,4.442603,4.408692,3.82955,4.385626,4.307126,4.363308,4.444533,4.386108,4.308628,4.289859,4.337694,4.266421,4.439064,4.726234,4.358671,4.529508,4.390163,4.408003,4.443537,4.501291,4.375613,4.48595,4.344901
1000-2,2.160508,2.213578,2.14118,2.133523,2.211299,2.101912,2.162488,2.163145,2.170898,2.085813,2.187355,2.200749,2.121491,2.098466,2.140007,2.148812,2.538349,2.394557,2.113716,2.175553,2.118881,2.170051,2.280988,2.225634,2.167498,2.178467,2.211895,2.431991,2.158415,2.242747
1000-4,0.997486,1.008694,1.005726,1.006348,1.022764,1.015307,1.016932,1.02521,1.005377,1.044241,1.019069,1.035163,1.018585,1.034186,1.08208,1.011085,1.034907,1.037909,1.025477,1.0265,1.018927,1.010752,1.037631,1.017674,1.044449,1.01428,1.059845,1.029101,1.026627,1.019658
1000-8,1.024662,1.082208,1.012825,0.974474,1.018359,1.019653,1.030006,1.025438,1.01668,1.042771,1.016801,1.014793,0.954277,0.926451,0.986228,0.9968,1.014067,0.998939,1.025011,1.017701,0.95053,1.008484,1.017914,1.01361,0.946082,0.924226,0.939321,0.938092,0.937981,1.030581
1000-16,0.998863,1.013058,0.993192,1.012089,0.986842,0.995731,0.995796,1.002185,1.00008,1.022307,1.038502,0.931045,0.999534,0.996918,0.988817,0.990529,0.995171,0.993748,0.927545,1.012526,0.999136,0.993866,0.999004,0.999295,0.874684,1.015288,0.992545,0.930929,0.98899,0.996154
2000-1,48.800895,50.911453,50.20734,53.188872,50.764995,47.599295,50.817923,50.5169,53.723513,47.666707,46.872705,47.836435,50.178167,51.324128,47.266585,48.790331,50.778131,47.510362,52.790786,46.692498,51.301706,47.850317,47.764789,48.819999,50.294329,49.801347,51.695259,46.40351,48.745758,51.548588
2000-2,26.155646,25.584297,24.619025,25.361151,25.77257,26.538998,24.936976,24.615028,23.726036,23.657112,25.534191,25.118549,26.058368,25.28632,24.82414,25.338436,26.185733,26.277765,26.169358,25.985542,24.375137,27.207919,26.11321,22.783323,24.231845,26.607939,25.442561,24.614473,23.899202,25.499279
2000-4,12.067914,11.939016,12.62816,11.994159,11.787282,12.331996,12.385071,12.380433,12.553522,11.950899,13.742754,12.511842,12.55915,11.775255,12.348596,12.404712,12.248075,11.911011,12.496449,12.555212,11.919409,12.471063,12.316554,12.202389,11.867386,12.38268,12.376079,12.215656,12.189006,12.72847
2000-8,11.306753,10.057614,11.592542,11.197924,11.525465,11.570779,11.231315,11.033212,10.628985,11.072369,11.535294,10.961875,11.594452,10.929385,11.529717,11.957986,11.122382,11.633907,12.010163,11.60145,11.692523,11.63818,11.740495,11.050484,11.697897,11.729204,11.251826,11.339277,11.716668,11.954071
2000-16,11.615015,10.660603,11.61525,11.047433,11.041361,11.55696,11.819961,10.936159,11.517802,11.356068,11.379702,11.475803,10.823514,11.02769,10.485744,11.163783,10.472686,11.240928,10.572502,10.566433,10.85012,10.75119,10.685898,10.580922,10.947383,10.834141,11.632085,12.856143,11.203894,11.200097
4000-1,668.572283,663.179664,673.977893,668.842513,660.162513,663.097395,666.926311,667.050342,682.249426,691.180015,668.502275,677.806487,674.374498,672.124092,677.971423,674.712521,660.596301,684.391911,693.599231,689.541279,676.470181,655.326232,681.403888,689.46434,657.183289,664.245892,674.866078,684.857898,693.150624,687.670481
4000-2,333.057802,341.883933,330.559366,331.388371,341.162785,334.592857,348.392005,335.428908,346.58349,329.376825,342.11792,334.341335,329.855763,331.564882,330.842736,345.458267,341.320986,339.34745,332.119914,328.774874,337.032617,339.266359,331.853209,332.939769,342.854688,330.111228,331.962016,329.738346,326.523405,332.906147
4000-4,163.408423,162.163509,168.264841,165.340169,160.923466,166.592953,165.416132,168.426667,162.07971,171.30091,177.969192,168.556337,167.773895,172.68972,162.25432,165.061561,164.00159,160.999181,164.289597,163.586267,158.682354,169.713639,164.042308,166.037182,164.829304,170.484941,164.722047,161.685355,165.233959,160.497868
4000-8,153.802486,156.380464,157.122069,157.012049,154.946111,152.027413,157.785515,157.719022,158.342032,158.265011,156.164025,154.679784,158.775322,154.317108,155.289485,158.963461,155.92585,156.739282,162.786696,166.017345,170.325671,165.930882,160.681412,159.358808,160.030957,157.176721,157.081683,155.525004,158.002693,156.449662
4000-16,158.471491,159.019217,160.849603,158.088766,158.653394,158.739827,162.366383,159.800023,162.157796,159.578468,157.799996,164.355806,158.633952,162.179202,160.313613,156.30609,155.86905,158.559336,160.458,156.269975,155.996456,159.770327,158.705202,163.140114,161.107569,159.478575,157.32919,156.025691,164.452092,159.374337
