Tamaño,Hilos,Ejecución,Resultado
1000,1,1,
1000,1,2,
1000,1,3,
1000,1,4,
1000,1,5,
1000,1,6,
1000,1,7,
1000,1,8,
1000,1,9,
1000,1,10,
1000,1,11,
1000,1,12,
1000,1,13,
1000,1,14,
1000,1,15,
1000,1,16,
1000,1,17,
1000,1,18,
1000,1,19,
1000,1,20,
1000,1,21,
1000,1,22,
1000,1,23,
1000,1,24,
1000,1,25,
1000,1,26,
1000,1,27,
1000,1,28,
1000,1,29,
1000,1,30,
1000,2,1,
1000,2,2,
1000,2,3,
1000,2,4,
1000,2,5,
1000,2,6,
1000,2,7,
1000,2,8,
1000,2,9,
1000,2,10,
1000,2,11,
1000,2,12,
1000,2,13,
1000,2,14,
1000,2,15,
1000,2,16,
1000,2,17,
1000,2,18,
1000,2,19,
1000,2,20,
1000,2,21,
1000,2,22,
1000,2,23,
1000,2,24,
1000,2,25,
1000,2,26,
1000,2,27,
1000,2,28,
1000,2,29,
1000,2,30,
1000,4,1,
1000,4,2,
1000,4,3,
1000,4,4,
1000,4,5,
1000,4,6,
1000,4,7,
1000,4,8,
1000,4,9,
1000,4,10,
1000,4,11,
1000,4,12,
1000,4,13,
1000,4,14,
1000,4,15,
1000,4,16,
1000,4,17,
1000,4,18,
1000,4,19,
1000,4,20,
1000,4,21,
1000,4,22,
1000,4,23,
1000,4,24,
1000,4,25,
1000,4,26,
1000,4,27,
1000,4,28,
1000,4,29,
1000,4,30,
1000,8,1,
1000,8,2,
1000,8,3,
1000,8,4,
1000,8,5,
1000,8,6,
1000,8,7,
1000,8,8,
1000,8,9,
1000,8,10,
1000,8,11,
1000,8,12,
1000,8,13,
1000,8,14,
1000,8,15,
1000,8,16,
1000,8,17,
1000,8,18,
1000,8,19,
1000,8,20,
1000,8,21,
1000,8,22,
1000,8,23,
1000,8,24,
1000,8,25,
1000,8,26,
1000,8,27,
1000,8,28,
1000,8,29,
1000,8,30,
1000,16,1,
1000,16,2,
1000,16,3,
1000,16,4,
1000,16,5,
1000,16,6,
1000,16,7,
1000,16,8,
1000,16,9,
1000,16,10,
1000,16,11,
1000,16,12,
1000,16,13,
1000,16,14,
1000,16,15,
1000,16,16,
1000,16,17,
1000,16,18,
1000,16,19,
1000,16,20,
1000,16,21,
1000,16,22,
1000,16,23,
1000,16,24,
1000,16,25,
1000,16,26,
1000,16,27,
1000,16,28,
1000,16,29,
1000,16,30,
2000,1,1,
2000,1,2,
2000,1,3,
2000,1,4,
2000,1,5,
2000,1,6,
2000,1,7,
2000,1,8,
2000,1,9,
2000,1,10,
2000,1,11,
2000,1,12,
2000,1,13,
2000,1,14,
2000,1,15,
2000,1,16,
2000,1,17,
2000,1,18,
2000,1,19,
2000,1,20,
2000,1,21,
2000,1,22,
2000,1,23,
2000,1,24,
2000,1,25,
2000,1,26,
2000,1,27,
2000,1,28,
2000,1,29,
2000,1,30,
2000,2,1,
2000,2,2,
2000,2,3,
2000,2,4,
2000,2,5,
2000,2,6,
2000,2,7,
2000,2,8,
2000,2,9,
2000,2,10,
2000,2,11,
2000,2,12,
2000,2,13,
2000,2,14,
2000,2,15,
2000,2,16,
2000,2,17,
2000,2,18,
2000,2,19,
2000,2,20,
2000,2,21,
2000,2,22,
2000,2,23,
2000,2,24,
2000,2,25,
2000,2,26,
2000,2,27,
2000,2,28,
2000,2,29,
2000,2,30,
2000,4,1,
2000,4,2,
2000,4,3,
2000,4,4,
2000,4,5,
2000,4,6,
2000,4,7,
2000,4,8,
2000,4,9,
2000,4,10,
2000,4,11,
2000,4,12,
2000,4,13,
2000,4,14,
2000,4,15,
2000,4,16,
2000,4,17,
2000,4,18,
2000,4,19,
2000,4,20,
2000,4,21,
2000,4,22,
2000,4,23,
2000,4,24,
2000,4,25,
2000,4,26,
2000,4,27,
2000,4,28,
2000,4,29,
2000,4,30,
2000,8,1,
2000,8,2,
2000,8,3,
2000,8,4,
2000,8,5,
2000,8,6,
2000,8,7,
2000,8,8,
2000,8,9,
2000,8,10,
2000,8,11,
2000,8,12,
2000,8,13,
2000,8,14,
2000,8,15,
2000,8,16,
2000,8,17,
2000,8,18,
2000,8,19,
2000,8,20,
2000,8,21,
2000,8,22,
2000,8,23,
2000,8,24,
2000,8,25,
2000,8,26,
2000,8,27,
2000,8,28,
2000,8,29,
2000,8,30,
2000,16,1,
2000,16,2,
2000,16,3,
2000,16,4,
2000,16,5,
2000,16,6,
2000,16,7,
2000,16,8,
2000,16,9,
2000,16,10,
2000,16,11,
2000,16,12,
2000,16,13,
2000,16,14,
2000,16,15,
2000,16,16,
2000,16,17,
2000,16,18,
2000,16,19,
2000,16,20,
2000,16,21,
2000,16,22,
2000,16,23,
2000,16,24,
2000,16,25,
2000,16,26,
2000,16,27,
2000,16,28,
2000,16,29,
2000,16,30,
5000,1,1,
5000,1,2,
5000,1,3,
5000,1,4,
5000,1,5,
5000,1,6,
5000,1,7,
5000,1,8,
5000,1,9,
5000,1,10,
5000,1,11,
5000,1,12,
5000,1,13,
5000,1,14,
5000,1,15,
5000,1,16,
5000,1,17,
5000,1,18,
5000,1,19,
5000,1,20,
5000,1,21,
5000,1,22,
5000,1,23,
5000,1,24,
5000,1,25,
5000,1,26,
5000,1,27,
5000,1,28,
5000,1,29,
5000,1,30,
5000,2,1,
5000,2,2,
5000,2,3,
5000,2,4,
5000,2,5,
5000,2,6,
5000,2,7,
5000,2,8,
5000,2,9,
5000,2,10,
5000,2,11,
5000,2,12,
5000,2,13,
5000,2,14,
5000,2,15,
5000,2,16,
5000,2,17,
5000,2,18,
5000,2,19,
5000,2,20,
5000,2,21,
5000,2,22,
5000,2,23,
5000,2,24,
5000,2,25,
5000,2,26,
5000,2,27,
5000,2,28,
5000,2,29,
5000,2,30,
5000,4,1,
5000,4,2,
5000,4,3,
5000,4,4,
5000,4,5,
5000,4,6,
5000,4,7,
5000,4,8,
5000,4,9,
5000,4,10,
5000,4,11,
5000,4,12,
5000,4,13,
5000,4,14,
5000,4,15,
5000,4,16,
5000,4,17,
5000,4,18,
5000,4,19,
5000,4,20,
5000,4,21,
5000,4,22,
5000,4,23,
5000,4,24,
5000,4,25,
5000,4,26,
5000,4,27,
5000,4,28,
5000,4,29,
5000,4,30,
5000,8,1,
5000,8,2,
5000,8,3,
5000,8,4,
5000,8,5,
5000,8,6,
5000,8,7,
5000,8,8,
5000,8,9,
5000,8,10,
5000,8,11,
5000,8,12,
5000,8,13,
5000,8,14,
5000,8,15,
5000,8,16,
5000,8,17,
5000,8,18,
5000,8,19,
5000,8,20,
5000,8,21,
5000,8,22,
5000,8,23,
5000,8,24,
5000,8,25,
5000,8,26,
5000,8,27,
5000,8,28,
5000,8,29,
5000,8,30,
5000,16,1,
5000,16,2,
5000,16,3,
5000,16,4,
5000,16,5,
5000,16,6,
5000,16,7,
5000,16,8,
5000,16,9,
5000,16,10,
5000,16,11,
5000,16,12,
5000,16,13,
5000,16,14,
5000,16,15,
5000,16,16,
5000,16,17,
5000,16,18,
5000,16,19,
5000,16,20,
5000,16,21,
5000,16,22,
5000,16,23,
5000,16,24,
5000,16,25,
5000,16,26,
5000,16,27,
5000,16,28,
5000,16,29,
5000,16,30,
