Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,6419444,6639305,6651617,6650489,6559103,6666126,6328418,6658221,6210790,6585593,6327530,6326660,6581004,6604913,6401733,6340262,6026471,6132151,6528703,5997535,6157306,5799442,6248419,6280389,6319613,6244657,6287627,6291630,6630345,6241091
1000-2,2953686,2892111,3028039,3068453,2952592,2883954,2953457,2844942,2858745,3022191,3071166,2971138,2939551,2987081,3157419,3013372,2964124,2912848,3031137,2841536,3057512,2869283,2881278,2881069,3127584,2884819,2854312,2757823,3164969,3089394
1000-4,1324821,1296821,1339598,1309256,1334779,1340275,1323571,1310807,1369966,1304573,1466128,1500699,1401587,1457093,1377226,1370328,1284094,1278649,1349705,1381922,1322578,1270948,1314109,1284627,1331088,1247996,1355748,1325866,1365854,1331473
1000-8,1318039,1290555,1276095,1310225,1263006,1261854,1266532,1277827,1278367,1269839,1284428,1307213,1356263,1335615,1285225,1254032,1299665,1258122,1279826,1345187,1289532,1312882,1302041,1306351,1326673,1309685,1308585,1301962,1369269,1334104
1000-16,1291077,1295101,1279492,1389796,1281345,1332778,1326623,1315689,1276597,1281577,1297151,1305898,1288699,1355923,1329656,1321615,1366365,1337862,1270439,1250059,1320650,1334699,1347482,1261842,1278558,1351280,1327658,1340952,1268485,1276573
2000-1,71899811,72016524,75234345,73580496,73640756,73209385,72481700,74562429,73074545,75397007,76262184,74535597,74522287,74061614,77172762,77132754,74277893,74671930,75536480,75562222,75400165,75917650,75092878,75646001,76569371,76014608,74288378,74933862,76760319,75135560
2000-2,37729221,38257738,37844461,37310530,36731234,36703681,36694478,36861752,36811546,36893185,37633714,38346405,38928755,39389047,41452784,40640784,41445627,41349828,42218983,41754226,42267232,40720598,40458034,40103623,39713116,39677365,39818651,39539561,39959243,40027056
2000-4,19337199,19434623,19597696,19544825,19539624,19747075,19666749,19739992,19608809,19710333,19655846,19453158,19491865,19778605,20189540,19879211,21191439,19574820,19366398,19124593,19320011,19307560,19774610,19695321,19303097,19877552,19363056,19707341,19513671,19887662
2000-8,18601799,17848485,18117426,18486113,18321895,18260046,18543008,18549560,18694183,18181623,18297472,18468652,18561289,19061351,18429178,18249103,18479971,18110546,18289841,18227077,17771145,18130248,18468606,18029897,18070754,17970503,17904706,18033294,17997959,17736227
2000-16,17980934,17499913,17662398,17954524,19535299,18108496,18207710,18057557,18103485,18764905,17902319,17808252,18809426,17703299,17825938,17944592,17830773,18182361,17926443,18023217,18414727,18132648,18144396,18097900,18797701,19027056,18580302,18734055,18950280,18328260
4000-1,816994225,834329175,838227536,909859206,921052919,892231789,848131718,867986641,863475772,890380163,914821175,901690550,895459158,905784656,895871561,936865686,903227334,925978029,874931973,874183890,891597972,906576318,915500619,892603712,872238959,876752263,883993669,886267560,904453256,885150552
4000-2,444556475,440326150,421190040,427637996,439350685,449382557,439429889,453624080,462428261,436243074,448370213,439048697,441406715,435868850,426765512,431485763,439121447,428807567,441680757,447297497,434518479,436482404,437518205,446126599,448662407,456212081,442067847,452056389,443370445,427184179
4000-4,218605655,225700422,227906796,220063052,230570706,224543983,224787059,227539866,215634175,222991895,224775737,217785644,228281565,223636411,223899474,227023505,223351900,217926642,225980263,224102791,227399070,235080254,223370892,236949285,230793713,222353321,236193834,230722052,222779704,228010574
4000-8,225321934,217889477,222603542,224423412,237957128,225216909,224113128,221166632,227229613,224460986,214083384,214311824,215426829,212840962,222740309,222194429,213135813,224355417,225757685,209886511,216793104,229967470,212321981,219957862,224455107,215486056,225227063,225206020,218239183,223517077
4000-16,235642686,242629694,239593039,237995310,233804476,236906467,230428037,233019089,233795723,233591591,245193776,228795266,231762292,240054070,220918934,228230664,236526799,229739241,236503098,228139313,232201602,238476583,232969495,228039682,232047903,232627735,229723444,230558585,226567965,233562411
