Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,6291839,6481076,6414348,6123118,6669699,6248455,6338654,6156980,6137825,6303497,6199342,6182620,6161657,6176852,6576729,6580172,6406962,6499209,6268832,6351365,6154427,6371752,6261563,6230946,6184533,6243758,6270078,6285808,6192937,6290108
1000-2,2991557,3075408,3040584,2945280,3120741,2963897,2966941,2944338,3017495,3199823,3159499,3031387,3087309,3011261,2986198,3295802,2914677,3024904,3056916,2923291,2921807,2933185,3231014,2943756,3095347,3036243,2962493,2975707,3009976,2962567
1000-4,1348387,1324602,1328442,1455152,1431907,1390334,1420962,1337463,1336942,1412487,1374553,1378293,1324813,1327901,1408315,1352259,1411983,1338402,1401679,1454948,1393486,1324248,1370942,1418806,1374555,1307686,1323898,1342073,1317188,1344453
1000-8,1393289,1427533,1314563,1303905,1389169,1418195,1352541,1376014,1381714,1325612,1319304,1348190,1343034,1347828,1354838,1306121,1360248,1351954,1308058,1330973,1316022,1431725,1346730,1298341,1363270,1388823,1346466,1399330,1390411,1332425
1000-16,1396418,1299745,1304502,1325791,1335306,1298583,1362171,1314017,1339797,1367317,1372071,1375983,1410215,1315973,1353865,1328104,1367284,1313036,1314608,1361992,1412562,1292501,1386588,1374719,1340619,1407759,1438313,1391512,1393876,1330797
2000-1,81047881,84083809,79495473,79571480,81128298,81351762,82130783,82625369,83289511,83305256,80360950,82250797,81067286,81798346,82019242,82503521,81446635,80863879,80078082,80941710,80679562,81725536,81233970,81101656,82696577,81509756,81334552,80582505,80192795,80432229
2000-2,40333609,40214252,41239179,40767358,41010053,41308922,40940091,41960765,42046252,40941738,40641385,39723547,39597029,40014284,39918807,40040736,40210443,40003658,40764456,41175126,40699799,41357306,41730166,41599931,42331376,42257965,40715178,40535000,40901680,40729030
2000-4,19713798,20202222,20007526,20092376,20265203,20189721,20069430,20272600,20306930,20249277,20701501,20667325,20729800,20911546,21664910,20521193,20825334,20688159,21062936,17538396,19119740,18863670,18660506,18789513,20184424,18983307,19323723,19207131,19409036,19166082
2000-8,17471670,17843873,17923760,18050195,18145874,18106845,17716276,17900883,18373977,18139093,18171378,18418046,18735620,18182502,18409112,18670298,19436784,18513862,18617858,18269503,17884034,17867569,18070398,17481835,17774442,17708629,17422678,17588512,17792079,17599343
2000-16,16866671,17515925,17551093,17476126,17517795,17469711,17626827,17808499,18337372,17791743,17985804,18201469,18146118,19710013,18112719,18008807,17811371,17773064,18063863,18206823,18085460,18241571,18309088,18205921,18384449,19630846,19039958,18972355,18746824,18510380
4000-1,869465903,870286734,889977133,882906119,912653277,892410719,860286799,863543031,860554320,890702442,917578666,893387148,903722202,882772319,869786299,896862764,886081871,886740529,897411029,877823275,878488406,878324156,916871302,881219368,877677820,893648162,870062865,881297842,873472453,889808510
4000-2,427779965,434936465,415051221,429985420,426531026,420540841,429023496,443559241,442311809,448210191,444096435,434848719,442391775,430533133,422538446,434804432,429083133,422394388,423693381,426693824,435772216,444147885,432599247,464716781,493456910,486214305,468524407,461386354,454608589,466831926
4000-4,224229724,230596848,236700447,226450215,235457379,240088741,228060344,237569432,237760722,243163484,241491597,235534679,242826198,245901340,229748777,231243273,236084394,226146036,231364623,233373050,225390247,228805429,232700959,229552964,227982276,220226716,221103118,228036640,211126472,222124337
4000-8,216645471,206434151,221543592,225474838,216150864,216660716,220255750,224969229,218439486,221948563,228788201,219534172,210406607,214826866,211602413,217386889,217918561,218780062,214644859,217132906,218120460,212431176,217327481,222539253,224652915,217671794,219514551,215802479,209099242,221123694
4000-16,227888390,217528041,225287302,223602694,209923568,220291030,228557907,221769535,213215261,220002276,221131660,214734139,215094646,217606552,212134239,216113239,224884947,215287458,218437191,217257127,218631986,211371351,221232226,226169027,217534289,223848120,231879022,219711082,224686318,225389165
